COUNTRY_CODE,COUNTRY_TITLE,ISO_YEAR,ISO_WEEK,TRANSMISSION,TRANSMISSION_CL,TRANSMISSION_COM,SERIOUSNESS,SERIOUSNESS_CL,SERIOUSNESS_COM,IMPACT,IMPACT_CL,IMPACT_COM,ISO_SD,ISO_ED,ISOYW,ISO_YW,ISO_YW_STR,ISO2,WHOREGION,FLUREGION,FLU_SEASON,COUNTRY_ID,YEAR_ID,WEEK_ID
CAN,Canada,1995,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/24/1995,7/30/1995,199530,1995-30,199530,CA,AMR,FLU_NRT_AMR,North,280,204,73
CAN,Canada,1995,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7/31/1995,8/6/1995,199531,1995-31,199531,CA,AMR,FLU_NRT_AMR,North,280,204,74
CAN,Canada,1995,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/7/1995,8/13/1995,199532,1995-32,199532,CA,AMR,FLU_NRT_AMR,North,280,204,75
CAN,Canada,1995,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/14/1995,8/20/1995,199533,1995-33,199533,CA,AMR,FLU_NRT_AMR,North,280,204,76
CAN,Canada,1995,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/21/1995,8/27/1995,199534,1995-34,199534,CA,AMR,FLU_NRT_AMR,North,280,204,77
CAN,Canada,1995,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8/28/1995,9/3/1995,199535,1995-35,199535,CA,AMR,FLU_NRT_AMR,North,280,204,78
CAN,Canada,1995,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/4/1995,9/10/1995,199536,1995-36,199536,CA,AMR,FLU_NRT_AMR,North,280,204,79
CAN,Canada,1995,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/11/1995,9/17/1995,199537,1995-37,199537,CA,AMR,FLU_NRT_AMR,North,280,204,80
CAN,Canada,1995,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/18/1995,9/24/1995,199538,1995-38,199538,CA,AMR,FLU_NRT_AMR,North,280,204,81
CAN,Canada,1995,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9/25/1995,10/1/1995,199539,1995-39,199539,CA,AMR,FLU_NRT_AMR,North,280,204,82
CAN,Canada,1995,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/2/1995,10/8/1995,199540,1995-40,199540,CA,AMR,FLU_NRT_AMR,North,280,204,83
CAN,Canada,1995,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/9/1995,10/15/1995,199541,1995-41,199541,CA,AMR,FLU_NRT_AMR,North,280,204,84
CAN,Canada,1995,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/16/1995,10/22/1995,199542,1995-42,199542,CA,AMR,FLU_NRT_AMR,North,280,204,85
CAN,Canada,1995,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/23/1995,10/29/1995,199543,1995-43,199543,CA,AMR,FLU_NRT_AMR,North,280,204,86
CAN,Canada,1995,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/30/1995,11/5/1995,199544,1995-44,199544,CA,AMR,FLU_NRT_AMR,North,280,204,87
CAN,Canada,1995,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/6/1995,11/12/1995,199545,1995-45,199545,CA,AMR,FLU_NRT_AMR,North,280,204,88
CAN,Canada,1995,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/13/1995,11/19/1995,199546,1995-46,199546,CA,AMR,FLU_NRT_AMR,North,280,204,89
CAN,Canada,1995,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/20/1995,11/26/1995,199547,1995-47,199547,CA,AMR,FLU_NRT_AMR,North,280,204,90
CAN,Canada,1995,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/27/1995,12/3/1995,199548,1995-48,199548,CA,AMR,FLU_NRT_AMR,North,280,204,91
CAN,Canada,1995,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/4/1995,12/10/1995,199549,1995-49,199549,CA,AMR,FLU_NRT_AMR,North,280,204,92
CAN,Canada,1995,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/11/1995,12/17/1995,199550,1995-50,199550,CA,AMR,FLU_NRT_AMR,North,280,204,93
CAN,Canada,1995,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/18/1995,12/24/1995,199551,1995-51,199551,CA,AMR,FLU_NRT_AMR,North,280,204,94
CAN,Canada,1995,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12/25/1995,12/31/1995,199552,1995-52,199552,CA,AMR,FLU_NRT_AMR,North,280,204,95
