AOW,Batch ID,Code,Comments,CONTINENT,Country Code,Country Id,Dataset Code,Dataset ID,Description,Dimension ID,DS,Ds (User Dim Country),Eff EndDate,Eff StartDate,Ext CreatedBy,Ext CreatedDate,Ext ModifiedBy,Ext ModifiedDate,External ID,External Identifier,ExternalInfoURL,Fact ID,Fips,Fips (User Dim Country),Flu Season,Flu Season (User Dim Country),Fluregion,Fluregion (User Dim Country),Geometry,Geometry (User Dim Country),HAS_NIC,Hemisphere,Hemisphere (User Dim Country),HEMISPHERE_LONG,ID,Impact,IOC,Ioc (User Dim Country),Is Current,Is Measure,Is Official,Is Official (User Dim Country),Is Published,IS_MS,IS_PIP1,IS_PIP2,IS_VALID,ISO,Iso (User Dim Country),Iso2,Iso2 (User Dim Country),IST,Ist (User Dim Country),ITU,Itu (User Dim Country),ITZ_LONG,Marc,Marc (User Dim Country),Master ID,Measure Code,Measure Id,Mort,Mort (User Dim Country),Official Name,Official Name (User Dim Country),Official Name Arabic,Official Name Arabic (User Dim Country),Official Name Chinese,Official Name Chinese (User Dim Country),Official Name English,Official Name English (User Dim Country),Official Name French,Official Name French (User Dim Country),Official Name Russian,Official Name Russian (User Dim Country),Official Name Spanish,Official Name Spanish (User Dim Country),Origin Code,Periodicity Type ID,Pip Output,Processed Date,Range End Value,Range Start Value,Seriousness,SOV_CODE,Sovereign,Sovereign (User Dim Country),Sys ArchivedDate,Sys ArchivedReason,Sys DeletedBy,Sys DeletedDate,Title,Transmission,Value String,ValueString (USER DIM COUNTRY),Week Code,Week Id,Week number,WHO,Who (User Dim Country),WHO_LONG,Whoregion,Whoregion (User Dim Country),WMO,Wmo (User Dim Country),Year Code,Year Id,Year_Week number,Year_Week_number,Display Sequence,Number of Records,Transmission continuous,Value High,Value Low,Value Numeric,ValueStdDev,ValueStdErr
,18322,CAN,,Americas,CAN,280,PISA,4,,5,CDN,CDN,12/31/2900 0:00,11/2/2016 4:14,,,,,,60,,5663980,CA,CA,North,North,FLU_NRT_AMR,FLU_NRT_AMR,CAN,CAN,1,NORTHERN,NORTHERN,Northern hemishere,280,No impact,CAN,CAN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,CAN,CAN,CA,CA,,,CAN,CAN,North America,xxc,xxc,,SERIOUSNESS,10500,2090,2090,Canada,Canada,????,????,???,???,Canada,Canada,Canada,Canada,??????,??????,Canadá,Canadá,PISA_COUNTRY,,,11/2/2016 4:14,,,Below seasonal threshold,CAN,Canada,Canada,,,,,Canada,Below seasonal threshold,Below seasonal threshold,,WEEK39,82,39,CAN,CAN,Region of the Americas of WHO,AMR,AMR,CN,CN,2016,225,201639,201639,31,1,1,,,,,
,18322,CAN,,Americas,CAN,280,PISA,4,,5,CDN,CDN,12/31/2900 0:00,11/2/2016 4:14,,,,,,60,,5663989,CA,CA,North,North,FLU_NRT_AMR,FLU_NRT_AMR,CAN,CAN,1,NORTHERN,NORTHERN,Northern hemishere,280,No impact,CAN,CAN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,CAN,CAN,CA,CA,,,CAN,CAN,North America,xxc,xxc,,SERIOUSNESS,10500,2090,2090,Canada,Canada,????,????,???,???,Canada,Canada,Canada,Canada,??????,??????,Canadá,Canadá,PISA_COUNTRY,,,11/2/2016 4:14,,,Below seasonal threshold,CAN,Canada,Canada,,,,,Canada,Below seasonal threshold,Below seasonal threshold,,WEEK40,83,40,CAN,CAN,Region of the Americas of WHO,AMR,AMR,CN,CN,2016,225,201640,201640,31,1,1,,,,,
,18322,CAN,,Americas,CAN,280,PISA,4,,5,CDN,CDN,12/31/2900 0:00,11/2/2016 4:14,,,,,,60,,5663998,CA,CA,North,North,FLU_NRT_AMR,FLU_NRT_AMR,CAN,CAN,1,NORTHERN,NORTHERN,Northern hemishere,280,No impact,CAN,CAN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,CAN,CAN,CA,CA,,,CAN,CAN,North America,xxc,xxc,,SERIOUSNESS,10500,2090,2090,Canada,Canada,????,????,???,???,Canada,Canada,Canada,Canada,??????,??????,Canadá,Canadá,PISA_COUNTRY,,,11/2/2016 4:14,,,Below seasonal threshold,CAN,Canada,Canada,,,,,Canada,Below seasonal threshold,Below seasonal threshold,,WEEK41,84,41,CAN,CAN,Region of the Americas of WHO,AMR,AMR,CN,CN,2016,225,201641,201641,31,1,1,,,,,
,18322,CAN,,Americas,CAN,280,PISA,4,,5,CDN,CDN,12/31/2900 0:00,11/2/2016 4:14,,,,,,60,,5663979,CA,CA,North,North,FLU_NRT_AMR,FLU_NRT_AMR,CAN,CAN,1,NORTHERN,NORTHERN,Northern hemishere,280,No impact,CAN,CAN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,CAN,CAN,CA,CA,,,CAN,CAN,North America,xxc,xxc,,TRANSMISSION,10503,2090,2090,Canada,Canada,????,????,???,???,Canada,Canada,Canada,Canada,??????,??????,Canadá,Canadá,PISA_COUNTRY,,,11/2/2016 4:14,,,Below seasonal threshold,CAN,Canada,Canada,,,,,Canada,Below seasonal threshold,Below seasonal threshold,,WEEK39,82,39,CAN,CAN,Region of the Americas of WHO,AMR,AMR,CN,CN,2016,225,201639,201639,31,1,1,,,,,
,18322,CAN,,Americas,CAN,280,PISA,4,,5,CDN,CDN,12/31/2900 0:00,11/2/2016 4:14,,,,,,60,,5663988,CA,CA,North,North,FLU_NRT_AMR,FLU_NRT_AMR,CAN,CAN,1,NORTHERN,NORTHERN,Northern hemishere,280,No impact,CAN,CAN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,CAN,CAN,CA,CA,,,CAN,CAN,North America,xxc,xxc,,TRANSMISSION,10503,2090,2090,Canada,Canada,????,????,???,???,Canada,Canada,Canada,Canada,??????,??????,Canadá,Canadá,PISA_COUNTRY,,,11/2/2016 4:14,,,Below seasonal threshold,CAN,Canada,Canada,,,,,Canada,Below seasonal threshold,Below seasonal threshold,,WEEK40,83,40,CAN,CAN,Region of the Americas of WHO,AMR,AMR,CN,CN,2016,225,201640,201640,31,1,1,,,,,
,18322,CAN,,Americas,CAN,280,PISA,4,,5,CDN,CDN,12/31/2900 0:00,11/2/2016 4:14,,,,,,60,,5663997,CA,CA,North,North,FLU_NRT_AMR,FLU_NRT_AMR,CAN,CAN,1,NORTHERN,NORTHERN,Northern hemishere,280,Low,CAN,CAN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,CAN,CAN,CA,CA,,,CAN,CAN,North America,xxc,xxc,,TRANSMISSION,10503,2090,2090,Canada,Canada,????,????,???,???,Canada,Canada,Canada,Canada,??????,??????,Canadá,Canadá,PISA_COUNTRY,,,11/2/2016 4:14,,,Low,CAN,Canada,Canada,,,,,Canada,Low,Low,,WEEK41,84,41,CAN,CAN,Region of the Americas of WHO,AMR,AMR,CN,CN,2016,225,201641,201641,31,1,2,,,,,
,18330,SGP,,Asia,SGP,404,PISA,4,,5,SGP,SGP,12/31/2900 0:00,11/2/2016 9:01,,,,,,261,,5665106,SN,SN,Both,Both,FLU_SE_ASIA,FLU_SE_ASIA,SGP,SGP,1,NORTHERN,NORTHERN,Northern hemishere,404,Low,SIN,SIN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,SGP,SGP,SG,SG,,,SNG,SNG,South-East Asia,si,si,,IMPACT,36,3350,3350,Singapore,Singapore,????????,????????,???,???,Singapore,Singapore,Singapour,Singapour,????????,????????,Singapur,Singapur,PISA,,,11/2/2016 9:01,,,Low,SGP,Singapore,Singapore,,,,,Singapore,Low,Low,,WEEK40,83,40,SIN,SIN,Western Pacific Region of WHO,WPR,WPR,SR,SR,2016,225,201640,201640,155,1,2,,,,,
,18330,SGP,,Asia,SGP,404,PISA,4,,5,SGP,SGP,12/31/2900 0:00,11/2/2016 9:01,,,,,,261,,5665097,SN,SN,Both,Both,FLU_SE_ASIA,FLU_SE_ASIA,SGP,SGP,1,NORTHERN,NORTHERN,Northern hemishere,404,Low,SIN,SIN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,SGP,SGP,SG,SG,,,SNG,SNG,South-East Asia,si,si,,IMPACT,36,3350,3350,Singapore,Singapore,????????,????????,???,???,Singapore,Singapore,Singapour,Singapour,????????,????????,Singapur,Singapur,PISA,,,11/2/2016 9:01,,,Low,SGP,Singapore,Singapore,,,,,Singapore,Low,Low,,WEEK41,84,41,SIN,SIN,Western Pacific Region of WHO,WPR,WPR,SR,SR,2016,225,201641,201641,155,1,2,,,,,
,18330,SGP,,Asia,SGP,404,PISA,4,,5,SGP,SGP,12/31/2900 0:00,11/2/2016 9:01,,,,,,261,,5665088,SN,SN,Both,Both,FLU_SE_ASIA,FLU_SE_ASIA,SGP,SGP,1,NORTHERN,NORTHERN,Northern hemishere,404,Low,SIN,SIN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,SGP,SGP,SG,SG,,,SNG,SNG,South-East Asia,si,si,,IMPACT,36,3350,3350,Singapore,Singapore,????????,????????,???,???,Singapore,Singapore,Singapour,Singapour,????????,????????,Singapur,Singapur,PISA,,,11/2/2016 9:01,,,Low,SGP,Singapore,Singapore,,,,,Singapore,Low,Low,,WEEK42,85,42,SIN,SIN,Western Pacific Region of WHO,WPR,WPR,SR,SR,2016,225,201642,201642,155,1,2,,,,,
,18330,SGP,,Asia,SGP,404,PISA,4,,5,SGP,SGP,12/31/2900 0:00,11/2/2016 9:01,,,,,,261,,5665105,SN,SN,Both,Both,FLU_SE_ASIA,FLU_SE_ASIA,SGP,SGP,1,NORTHERN,NORTHERN,Northern hemishere,404,Moderate,SIN,SIN,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,SGP,SGP,SG,SG,,,SNG,SNG,South-East Asia,si,si,,SERIOUSNESS,10500,3350,3350,Singapore,Singapore,????????,????????,???,???,Singapore,Singapore,Singapour,Singapour,????????,????????,Singapur,Singapur,PISA,,,11/2/2016 9:01,,,Moderate,SGP,Singapore,Singapore,,,,,Singapore,Moderate,Moderate,,WEEK40,83,40,SIN,SIN,Western Pacific Region of WHO,WPR,WPR,SR,SR,2016,225,201640,201640,155,1,3,,,,,
